,File,Peak 1,Peak 2,Intensity 1,Intensity 2,Peak Difference,Intensity Difference
0,Jacky/Shivani/Shivani Sample 1/MoS2_3_loc4.txt,380.193333931347,404.3654033952697,289.61040723197885,243.2593096000646,24.172069463922696,46.35109763191426
1,Jacky/Shivani/Shivani Sample 1/MoS2_3_loc5.txt,380.68167225292444,405.04912449916486,256.4224204078812,192.66114069519776,24.36745224624042,63.76127971268343
2,Jacky/Shivani/Shivani Sample 1/MoS2_2_loc2.txt,379.98024997253583,404.9366303455004,368.2773854115801,316.03850758750036,24.95638037296459,52.23887782407974
3,Jacky/Shivani/Shivani Sample 1/MoS2_3_loc2.txt,381.35120000010323,402.82565191384845,141.462196605411,107.4438295082822,21.474451913745213,34.0183670971288
4,Jacky/Shivani/Shivani Sample 1/MoS2_3_loc3.txt,381.4059349997961,402.8895548989311,141.36820112920608,140.9753438028196,21.48361989913502,0.3928573263864905
5,Jacky/Shivani/Shivani Sample 1/MoS2_2_loc3.txt,,,,,,
6,Jacky/Shivani/Shivani Sample 1/MoS2_2_loc1.txt,379.93910461743894,405.17391788273227,402.0910956340584,335.3506250372604,25.234813265293326,66.74047059679799
7,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc2.txt,381.0581637260645,402.7778047242601,70.59640772108473,49.48499900914692,21.719640998195587,21.111408711937813
8,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc3.txt,379.8934032488221,404.02691908190457,275.62503270231684,214.5821107908577,24.13351583308247,61.04292191145913
9,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc1.txt,382.68351540302797,403.68773713208407,33.185064597357304,36.61836865008368,21.0042217290561,3.4333040527263776
10,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc4.txt,379.0742353637778,404.5817772860683,308.483819911125,250.3183712227726,25.5075419222905,58.1654486883524
11,Jacky/Shivani/Shivani Sample 1/MoS2_4_loc5.txt,381.48081306557384,403.1336632034044,82.74716636350131,92.28147277713953,21.65285013783057,9.53430641363822
12,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc1.txt,379.10809117721317,1114.5334666119331,4.874366430191917,333.4648322171456,735.42537543472,328.5904657869537
13,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc2.txt,380.32495989711475,404.7836978459014,210.67928874780813,153.92255811704587,24.45873794878662,56.75673063076226
14,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc3.txt,381.3329682066255,403.0931271492083,144.0668081168608,110.94263788763962,21.760158942582848,33.12417022922119
15,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc6.txt,379.4923714637537,405.54370081591185,361.9613368055016,289.45529284619727,26.05132935215812,72.50604395930435
16,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc4.txt,380.05488492336644,404.6818291067282,350.5859226968472,270.9530143503888,24.62694418336173,79.63290834645841
17,Jacky/Shivani/Shivani Sample 1/MoS2_1_loc5.txt,381.00988680732485,404.3421901630738,216.84204419554067,189.50084403674865,23.332303355748934,27.34120015879202
18,Jacky/Shivani/Shivani Sample 2/MoS2_1_loc1.txt,378.2413267215817,404.64356592639996,456.90801168147476,330.25724308503055,26.402239204818272,126.65076859644421
19,Jacky/Shivani/Shivani Sample 2/MoS2_1_loc2.txt,380.75459813599,402.7226647475467,143.8734788738764,102.69535483509964,21.96806661155665,41.17812403877676
20,Jacky/Shivani/Shivani Sample 2/MoS2_1_loc3.txt,380.5962348494888,407.44254838757706,74.70591906612601,48.802802370923125,26.846313538088282,25.90311669520289
21,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc8.txt,377.96959992731854,402.6418281333849,189.89556020995448,180.35906660841002,24.672228206066336,9.536493601544464
22,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc1.txt,379.8274495053277,401.0596568698835,153.13218691201166,160.72435551691606,21.23220736455579,7.592168604904401
23,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc2.txt,378.63531465486955,401.95453170021096,181.78296761778594,166.89132335172755,23.319217045341418,14.891644266058393
24,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc3.txt,378.2685297815532,402.22041317896077,255.51519477692779,228.88047839836517,23.951883397407585,26.634716378562615
25,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc7.txt,377.52861628002546,402.73037894144943,309.75248739862985,314.76049671254964,25.20176266142397,5.008009313919786
26,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc6.txt,378.19032634510825,404.85561427206636,175.65916471170013,90.93147967567579,26.665287926958115,84.72768503602434
27,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc4.txt,379.8194299313406,400.63159390041375,139.29716243982176,132.5260954835858,20.81216396907314,6.771066956235956
28,Jacky/Shivani/Shivani Sample 3/MoS2_1_loc5.txt,377.8170898214845,403.11816886071546,305.0614746024831,290.3106214199667,25.301079039230956,14.75085318251638
29,Jacky/Shivani/Shivani Sample 4/MoS2_1_loc1.txt,379.23039891897116,403.2632610284596,127.12746488263792,108.0190135488508,24.032862109488462,19.10845133378713
30,Jacky/Shivani/Shivani Sample 4/MoS2_1_loc2.txt,379.83994391416985,401.637412884091,93.80904781973733,62.599707083762056,21.79746896992117,31.209340735975275
31,Jacky/Shivani/Shivani Sample 4/MoS2_1_loc3.txt,379.49536202145106,400.9941404569138,111.84687183299548,125.87694183344848,21.498778435462725,14.030070000453009
32,Jacky/Shivani/Shivani Sample 11/FeMoS2_2_loc2.txt,401.6188637386642,517.0785731135101,71.93096788313423,31.106966098860376,115.45970937484589,40.824001784273854
33,Jacky/Shivani/Shivani Sample 11/FeMoS2_2_loc1.txt,399.9407758477589,517.2318936069868,97.54338382530423,25.692778694404357,117.29111775922786,71.85060513089988
34,Jacky/Shivani/Shivani Sample 11/FeMoS2_1_loc1.txt,403.2815793496074,517.4012009285301,108.65312729240964,91.39831355555022,114.1196215789227,17.25481373685942
35,Jacky/Shivani/Shivani Sample 11/FeMoS2_1_loc2.txt,402.3244130733033,517.70374960911,71.37341447841487,48.64351923892946,115.37933653580671,22.729895239485415
36,Jacky/Shivani/Shivani Sample 12/FeMoS2_1_loc1.txt,401.06121170081906,517.1814397630492,78.7983072905321,45.01703225942583,116.12022806223013,33.78127503110626
37,Jacky/Shivani/Shivani Sample 12/FeMoS2_1_loc2.txt,401.24203744121974,517.5899665952213,76.22124285885164,54.17357978241172,116.34792915400158,22.047663076439918
38,Jacky/Shivani/Shivani Sample 13/FeMoS2_1_loc1.txt,400.23838934132704,519.7999349356403,265.48376966752886,64.1916865136644,119.56154559431326,201.29208315386447
39,Jacky/Shivani/Shivani Sample 13/FeMoS2_1_loc2.txt,401.95019331987953,520.5133290937581,321.9090369650425,122.3021689606442,118.56313577387857,199.6068680043983
40,Jacky/Shivani/Shivani Sample 14/FeMoS2_1_loc1.txt,378.1996073469521,404.20152251224056,599.6949874212253,545.5297284034943,26.001915165288437,54.16525901773093
41,Jacky/Shivani/Shivani Sample 14/FeMoS2_1_loc2.txt,404.6061888189185,520.7477920947528,306.15836365881665,277.9468947589165,116.14160327583426,28.211468899900126
42,Jacky/Shivani/Shivani Sample 14/FeMoS2_1_loc3.txt,378.4099190371996,405.1391504114664,354.62603375238984,328.32405877278825,26.729231374266817,26.301974979601596
43,Jacky/Raman/MoS2_2_loc4_r.txt,385.4246552903113,411.3801268450575,138.98261616033736,142.14523721903285,25.95547155474617,3.1626210586954926
44,Jacky/Raman/MoS2_2_loc6_r.txt,384.98203519663684,410.71531686227837,184.26367009375673,143.1785213686348,25.733281665641528,41.08514872512194
45,Jacky/Raman/MoS2_2_loc2.txt,385.45737538515675,409.8149583269333,130.01775405250424,123.85591653414006,24.35758294177657,6.16183751836418
46,Jacky/Raman/MoS2_2_loc5_r.txt,384.10992971462684,410.1025845311794,99.93169832639778,81.31300757366195,25.992654816552545,18.61869075273583
47,Jacky/Raman/MoS2_2_loc1_r.txt,387.5320024540384,408.66148354522034,53.645709206264115,50.805037713652126,21.129481091181958,2.840671492611989
48,Jacky/Raman/MoS2_2_loc3_r.txt,385.86276913122174,410.31707957017585,114.62949591255745,107.65973105958699,24.45431043895411,6.969764852970457
49,Jacky/Raman/MoS2_3_loc2_r.txt,385.5929217077534,409.07865031746735,115.59014558051487,91.48799240551789,23.48572860971393,24.102153174996985
50,Jacky/Raman/MoS2_1_loc1_r.txt,386.3826197184364,407.79114591017054,90.63566667608833,74.86680701215936,21.408526191734154,15.768859663928978
